"","CAM_1","CAM_2","CAM_like_1","CAM_like_2","CAM_like_3","Micro_1","Micro_2","Micro_3","Micro_4","Micro_like"
"FOSB_extended (205g)",-0.502382859757464,-0.914626819770348,0.707544341142626,0.250348468293412,0.523240603772964,-0.839667317976228,-0.775108848285855,-1.30152971190908,1.36817238848091,1.48400975600906
"FOXO3_extended (11g)",0.788408621935562,1.70742886028645,-0.0242665568731808,0.733868057814841,1.01444149691402,-0.793628349334363,-0.661940154071349,-0.617975137313358,-1.33922375266796,-0.807113086690664
"FOXP1_extended (74g)",0.307612610136129,2.55727919914877,-0.410808844462182,-0.0449612488951843,0.586998940226434,-0.573632671693908,-0.533199966625313,-0.456683360214103,-0.682761213666376,-0.749843443954265
"IKZF1 (11g)",-0.448659344702437,2.74746786726559,-0.676641152013638,-0.531938954498006,0.0756808096857083,-0.255247735929248,-0.230422141248567,0.0692005200381263,-0.151414442070159,-0.598025426527371
"IKZF1_extended (39g)",-0.397266186394543,2.78003804943214,-0.587941043793787,-0.50546399923153,0.126761632550375,-0.309236195091082,-0.296165373785087,-0.0603676947905157,-0.25722554378529,-0.493133645110682
"IRF7 (147g)",-0.768740293259149,-0.238531356120632,1.23983352768622,1.43082667298114,1.19281282934421,-0.871757901501231,-0.801010662190051,-0.981160766670781,-0.794018844356012,0.591746794086287
"IRF7_extended (327g)",-0.74763260526795,-0.266025039536102,1.25218603916651,1.55186933380121,1.10241585969162,-0.861465358739571,-0.793483456644465,-0.950298323889237,-0.800492610726842,0.512926162144827
"JUN_extended (376g)",-0.248967875295487,-1.157891560992,0.378249152401431,-0.259962106130357,-0.0699052933351077,-0.579164629825367,-0.540412100091809,-0.89956663602362,1.34174882496046,2.03587222433186
"JUNB (43g)",-0.869960717035813,-0.439833457326146,1.06036052888756,0.979022893179249,1.09638501472896,-0.910604485165847,-0.864089123177417,-1.24235291425704,-0.0886373253677076,1.2797095855342
"JUNB_extended (127g)",-0.892451390616782,-0.560345434677386,1.12109726008921,0.905038398532544,1.18227872699232,-0.919106985207351,-0.862395693726044,-1.19311989733393,0.0346976433260865,1.18430737262133
"JUND_extended (12g)",-0.893219950025581,-0.77691591874478,0.332220635895625,1.46451281769759,0.92410116601312,-0.822898430005622,-0.783081646604215,-0.650210849537835,-0.409595241727516,1.61508741703921
"KLF2_extended (27g)",-0.432201015887164,-0.571862275147451,0.105830198641902,-0.271895824717658,0.276511726720754,-0.643937078224451,-0.646483678665178,-0.639697360717751,0.167673065307624,2.65606224268937
"MAF_extended (52g)",-0.193415574155376,-0.918856151704454,-0.933581102235848,-0.930222979601812,-0.901042383700015,1.19673581807082,1.07892792070243,1.05685978806095,1.19642437506676,-0.651829710503455
"NFKB1 (279g)",-0.168311390562729,-0.206076532672492,1.01489800191213,1.6294767853366,0.840283836668733,-1.14398043624982,-1.02616608998185,-1.22514796583071,-0.42078170552035,0.705805496900493
"NFKB1_extended (351g)",-0.169951617707561,-0.2414933207893,1.05793588498771,1.66897871853164,0.843963735695365,-1.1185295507105,-1.00207153931698,-1.19999272137844,-0.46144365979387,0.622604070481936
"NR3C1 (159g)",0.526160379240186,1.93926424734369,-0.0973103143915113,-0.649462995030135,-0.333415029015939,0.391669521535184,0.496982707980295,0.379563375603902,-0.905356918137796,-1.74809497512788
"NR3C1_extended (227g)",0.390824944423382,1.89056904947237,-0.125694689305711,-0.810831066765359,-0.266652093140036,0.403969938209662,0.526353356804718,0.380972363068155,-0.457059424820962,-1.93245237794622
"POU2F2_extended (17g)",-0.418590312777106,2.50199034000093,-0.391561578493645,-0.231517067238076,1.04714761043116,-0.510505698272888,-0.490140616968662,-0.455805843578312,-0.540619624966707,-0.5103972081367
"RUNX2_extended (11g)",0.42266746337268,-1.07426054800209,-0.473229385533935,-0.92203478614699,-1.10053403775588,1.21042804657709,1.1974539699423,1.28627632697195,0.309296132297684,-0.856063181722815
"SPI1 (129g)",-0.841028181325197,2.0838029492589,0.0457185852163101,0.0889241347900187,1.50143838443758,-0.658116072506374,-0.639467017748192,-0.610399803142556,-0.495487156611989,-0.475385822368503
"SPI1_extended (160g)",-0.8304521336218,2.09969337407201,0.0325192945964579,0.0734718942315352,1.49049568707791,-0.655902198478181,-0.636584101319015,-0.613575029303641,-0.504353505721531,-0.455313281533742
"STAT1 (120g)",-0.932089139083841,-0.0931354527887295,1.13234260991423,1.30208411615778,1.46766315061986,-0.879838186413788,-0.807842084834846,-0.860453479176647,-0.784745167156697,0.456013632762683
"STAT1_extended (273g)",-0.958319727684292,0.0744016942021272,1.18409965211017,1.42858781944661,1.31336485183535,-0.893512020111438,-0.829688506687821,-0.876749238405572,-0.747877682231115,0.305693157525985
