"","Micro_1","CAM_2","Micro_3","Micro_2","Micro_4","CAM_1","CAM_like_3","CAM_like_2","CAM_like_1","Micro_like"
"RARA_extended (26g)",0.0797521080971249,0.673986486486487,0.0623877917414722,0.0906821963394343,0.0539419087136929,0.14375,0.801399354144241,0.784075573549258,0.585893060295791,0.253954305799649
"RB1 (185g)",0.979680991567611,0.324324324324324,0.970825852782765,0.948419301164726,0.991701244813278,0.946875,0.227664155005382,0.0543184885290148,0.270193401592719,0.618336262448741
"RCOR1_extended (263g)",0.000304785126485827,0.682432432432432,0.000897666068222621,0.00415973377703827,0,0.003125,0.358988159311087,0.208502024291498,0.0546075085324232,0.00117164616285882
"RELB (15g)",0.114700802600833,0.22972972972973,0.110861759425494,0.142262895174709,0.190871369294606,0.515625,0.564585575888052,0.743252361673414,0.677474402730375,0.656414762741652
"RORA (20g)",0.231839886213553,0.0152027027027027,0.385098743267504,0.232945091514143,0.0580912863070539,0.128125,0.0242195909580194,0.00708502024291498,0.012514220705347,0.0216754540128881
"RUNX3 (71g)",0.00213349588540079,0.918918918918919,0.00269299820466786,0.0232945091514143,0.004149377593361,0.0625,0.828848223896663,0.556005398110661,0.36518771331058,0.0231400117164616
"RXRA_extended (17g)",0.00650208269836432,0.97972972972973,0.0112208258527828,0.0174708818635607,0.004149377593361,0.096875,0.715823466092573,0.307017543859649,0.10580204778157,0.0102519039250146
"SOX6_extended (18g)",0.0150360662399675,0.0202702702702703,0.072262118491921,0.024126455906822,0.024896265560166,0.04375,0.00968783638320775,0.00134952766531714,0.00227531285551763,0.0070298769771529
"SP3_extended (24g)",0.134511835822412,0.148648648648649,0.16113105924596,0.133111480865225,0.236514522821577,0.1,0.157158234660926,0.0978407557354926,0.0921501706484642,0.0957820738137083
"SPI1_extended (1792g)",0.0951945545057401,0.905405405405405,0.0233393177737881,0.110648918469218,0.0497925311203319,0.184375,0.996232508073197,0.987516869095816,0.922070534698521,0.789689513766842
"STAT1 (199g)",0.0133089505232145,0.513513513513513,0.00314183123877917,0.0532445923460899,0.0788381742738589,0.109375,0.993541442411195,0.998987854251012,0.989761092150171,0.95518453427065
"STAT3_extended (239g)",0.00528294219242101,0.0743243243243243,0.00134649910233393,0.021630615640599,0.0912863070539419,0.021875,0.254574811625404,0.664642375168691,0.234926052332196,0.637961335676626
"TAF7_extended (18g)",0.0168647769988825,0.0253378378378378,0.026032315978456,0.0266222961730449,0.04149377593361,0.0125,0.0780409041980624,0.0593792172739541,0.0813424345847554,0.0500878734622144
"TFDP2_extended (30g)",0.161129736868841,0.0929054054054054,0.22935368043088,0.138103161397671,0.0912863070539419,0.215625,0.031216361679225,0.0374493927125506,0.0273037542662116,0.0562390158172232
"XBP1_extended (56g)",0.000507975210809712,0,0,0,0.128630705394191,0.00625,0.00107642626480086,0.000674763832658569,0.00568828213879408,0.130345635618043
"XRCC4_extended (20g)",0.190287513969318,0.233108108108108,0.218132854578097,0.182196339434276,0.12448132780083,0.2125,0.110871905274489,0.0914304993252362,0.0841865756541524,0.0562390158172232
"YBX1_extended (24g)",0.124961901859189,0.326013513513513,0.127917414721724,0.129783693843594,0.336099585062241,0.08125,0.313240043057051,0.240890688259109,0.214448236632537,0.246631517281781
"ZBTB43 (13g)",0.0290561820583156,0.0675675675675676,0.0538599640933573,0.0557404326123128,0.0746887966804979,0.140625,0.310548977395048,0.463562753036437,0.479522184300341,0.118043350908026
"ZBTB7A (135g)",0.00203190084323885,0.878378378378378,0.00763016157989228,0.0183028286189684,0.004149377593361,0,0.79978471474704,0.332321187584345,0.195676905574517,0.0234329232571763
"ZMIZ1 (62g)",0.00751803311998374,0.251689189189189,0.0224416517055655,0.0274542429284526,0.00829875518672199,0.1625,0.385898815931109,0.703441295546559,0.633105802047782,0.117750439367311
"ZNF143_extended (20g)",0.0452097937620644,0.0168918918918919,0.0543087971274686,0.045757071547421,0.775933609958506,0.04375,0.0618945102260495,0.0310391363022942,0.0307167235494881,0.0714704159343878
